"repeat","lengths","index"
20,3.95,43
20,7.125,44
20,0.135,45
20,0.34,46
20,0.09,47
20,0.025,48
20,0.13,49
20,0.03,50
20,0.14,51
20,3.825,52
20,0.265,53
20,18.63,54
20,0.04,55
20,14.825000000000001,56
20,0.19,57
20,0.06,58
20,0.045,59
20,4.38,60
20,0.31,61
20,9.735,62
20,4.03,63
20,3.865,64
21,0.005,1
21,0.02,2
21,10.120000000000001,3
21,0.81,4
21,10.700000000000001,5
21,6.925,6
21,9.56,7
21,3.9650000000000003,8
21,18.04,9
21,2.65,10
21,13.595,11
21,0.01,12
21,0.185,13
21,0.21,14
21,5.9750000000000005,15
21,0.215,16
21,0.85,17
21,0.19,18
21,0.18,19
21,0.38,20
21,9.025,21
21,2.285,22
21,2.66,23
21,3.86,24
21,16.595,25
21,3.35,26
21,3.805,27
21,0.135,28
21,5.75,29
21,0.485,30
21,4.45,31
21,2.845,32
21,14.035,33
21,2.94,34
21,1.815,35
21,0.115,36
21,19.775000000000002,37
21,3.1550000000000002,38
21,2.575,39
21,0.02,40
21,1.365,41
21,6.705,42
21,10.8,43
21,4.315,44
21,7.36,45
21,3.14,46
21,9.4,47
21,0.5700000000000001,48
21,7.415,49
21,3.9250000000000003,50
21,0.75,51
22,4.205,1
22,0.03,2
22,0.015,3
22,0.39,4
22,2.525,5
22,1.92,6
22,5.46,7
22,0.05,8
22,0.05,9
22,6.92,10
22,0.135,11
22,0.085,12
22,6.335,13
22,3.5700000000000003,14
22,8.07,15
22,0.065,16
22,9.41,17
22,5.93,18
22,12.435,19
22,0.095,20
22,3.0700000000000003,21
22,2.625,22
22,5.09,23
22,5.815,24
22,3.215,25
22,5.1450000000000005,26
22,2.995,27
22,0.08,28
22,0.015,29
22,5.635,30
22,10.8,31
22,0.525,32
22,11.57,33
22,2.38,34
22,4.065,35
22,0.28500000000000003,36
22,1.165,37
22,10.15,38
22,0.105,39
22,0.155,40
22,3.125,41
22,2.41,42
22,4.105,43
22,0.515,44
22,12.46,45
22,0.85,46
22,14.095,47
22,0.02,48
22,7.18,49
22,0.05,50
22,0.045,51
22,0.075,52
22,4.055,53
22,4.525,54
22,4.805,55
22,0.125,56
22,7.7,57
22,1.99,58
22,4.79,59
22,0.005,60
22,6.615,61
22,0.14,62
22,0.5700000000000001,63
22,2.93,64
22,3.835,65
22,4.755,66
22,5.655,67
23,0.01,1
23,0.005,2
23,0.1,3
23,3.225,4
23,12.885,5
23,2.3850000000000002,6
23,6.415,7
23,6.5200000000000005,8
23,43.635,9
23,0.895,10
23,0.03,11
23,0.055,12
23,0.07,13
23,0.17500000000000002,14
23,5.365,15
23,0.26,16
23,4.66,17
23,3.23,18
23,3.72,19
23,2.69,20
23,9.055,21
23,0.185,22
23,1.45,23
23,0.18,24
23,1.495,25
23,3.225,26
23,10.795,27
23,0.055,28
23,0.225,29
23,2.195,30
23,14.135,31
23,0.15,32
23,7.555,33
23,0.17,34
23,6.815,35
23,0.12,36
23,9.355,37
23,4.815,38
23,6.075,39
23,2.985,40
23,6.09,41
23,0.26,42
23,13.515,43
23,2.485,44
23,6.94,45
23,0.015,46
23,11.145,47
23,6.125,48
23,4.315,49
23,0.9550000000000001,50
23,2.065,51
23,3.255,52
23,5.4750000000000005,53
